,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015r,2016r,2017p
Agriculture,4744.247711,5548.190346,5412.856053,6236.442734,5764.09345,6039.149718,6772.557282,7270.74978,8431.606382,9014.835213,9004.156565,11103.51999,12634.05359,13016.98194,15831.40354,17317.54986,19570.00621,22582.80696,26360.38991,22922.90454,20526.97847,20675.46417,21369.22087
"Agriculture, forestry and fishing",4744.247711,5548.190346,5412.856053,6236.442734,5764.09345,6039.149718,6772.557282,7270.74978,8431.606382,9014.835213,9004.156565,11103.51999,12634.05359,13016.98194,15831.40354,17317.54986,19570.00621,22582.80696,26360.38991,22922.90454,20526.97847,20675.46417,21369.22087
Non-Agriculture,46980.82201,53137.19596,59957.02254,55279.96147,59390.22217,57362.87171,57923.45384,63592.55059,69818.97752,76043.6079,79076.6202,95121.62678,102466.1439,113794.9896,126496.3986,134661.1703,140955.3966,163474.9478,158847.1308,163260.3719,169411.5761,174781.8951,182752.4916
Mining and quarrying,1279.474387,1547.381963,2178.324167,2620.98918,2481.549296,2239.720388,2257.695992,2185.470297,1899.297709,1467.011829,1408.634265,1607.995492,1427.46894,1442.407644,1481.312001,1303.829094,1408.303307,1351.078451,1269.587994,1171.869022,1286.310661,1231.799193,969.910096
Manufacturing,12628.78175,13139.54702,18114.97439,17141.14844,19433.00319,17986.13193,16803.12468,19798.68027,23939.12801,26683.51828,27148.60969,39049.05798,42159.89042,50641.19222,54662.76042,60535.6985,61490.14148,72475.42132,68298.56062,73084.37227,71144.94654,68908.02456,70760.00925
"Electricity, gas, steam and air conditioning supply",1118.135832,988.199887,1107.770905,1361.495431,1166.459207,1187.124882,1178.299142,1193.788959,1237.237644,1431.972247,1514.478552,1664.396382,1678.785845,1661.209006,1963.346659,2053.049328,2039.260268,2337.680713,2562.064285,2710.301423,2687.89212,2734.416869,2812.741413
"Water supply; sewerage, waste management and remediation activities",211.226313,234.75179,254.299165,252.907489,276.46539,306.265787,302.416643,277.597448,291.635819,292.157087,303.065257,318.259683,314.594037,333.791963,418.559429,432.054927,447.281692,531.56891,621.195267,675.052141,737.341913,767.195356,851.378954
Construction,6921.996033,7672.699235,6464.969106,3838.630175,4882.285398,3741.028888,4715.741445,4860.922504,5058.903265,4874.131692,5227.970021,5400.62691,6612.864412,5610.594514,8690.437314,8202.602171,7996.121455,10249.83599,8347.099388,7552.214514,7758.644383,7263.022536,6968.753464
Wholesale and retail trade and repair of motor vehicles,6775.324462,8689.275203,8922.103287,6796.017098,6960.392358,6763.213997,6891.444312,7708.437839,8447.790265,9028.755549,9365.217676,10963.65555,11634.11708,11855.34257,13481.90891,14484.42878,15185.77775,17536.9308,17582.48565,18897.60755,20733.92242,24508.85508,26322.41901
Transportation and storage,1741.97092,1763.401184,2229.618866,2109.802179,2559.429019,2336.065439,2438.131647,2414.900966,2292.705127,2563.312293,1994.908595,2333.487013,3142.531401,3167.211327,3468.513106,3190.304019,3857.262889,3580.04279,3543.709578,3923.025328,4043.571885,4384.457557,4123.426661
Accommodation and food service activities,865.2784,1131.139892,1187.92926,908.859794,999.699715,1090.859543,1042.975752,1106.720766,1161.684097,1321.542425,1513.419154,1360.910087,1360.030248,1531.295139,1620.812202,1883.166729,2189.994333,2245.008544,2439.875748,2572.631602,2839.432859,3498.370622,4127.294565
Information and communication,566.084785,625.571375,740.336057,689.280215,728.014602,743.530936,1004.140561,1172.183319,1299.304116,1249.425743,1250.088012,1014.804237,984.370594,1056.506122,1080.868576,1104.548396,1225.813246,1223.321169,1177.405402,1160.751593,1305.538353,1072.166704,1128.57475
