label,Sent
pos,ต่างชาติถล่มขายหุ้นเครือปตทมาร์เก็ตแคปพคหายแสนล้าน
neu,ปตทตรึงราคาน้ำมันช่วยปชช
neu,กัดฟันตรึงราคาน้ำมันปตทแบก24พันล้าน
neg,pttซื้อหุ้นเอ็ชเอ็มซีขยายปิโตรเคมี
neg,ปตททุ่มหมื่นล้านขยายตลาดใช้ก๊าซภาคอุตฯ
neg,ยันไม่มีปั๊มปตทปลอมน้ำมันขาย
neg,aseantodrive20growthinpttsinternational
neg,เตือนวิกฤติน้ำมันโหดลิตรละ35บาทลุ้นระทึกตลาดโลก100ปตท
neg,ปตทส่งก๊าซเพิ่มช่วยลดค่าเอฟทีกฟผออกพันธบัตร74พันล้าน
neg,ปตทสผส่อพิรุธลอบตั้งบริษัทลูกโผล่เกาะเคย์แมน
neg,แฉปตทสผส่อผิดกมตั้งบริษัทลูกจดทะเบียนเกาะเคแมน
neg,แฉพิรุธปตทจดทะเบียนเกาะเคแมน
neg,ปตทยอมแบกค่าftครวญทำรายได้หาย
neg,ptttoinvest250minpolymers
neg,ปตทจ่ายภาษีหมื่นลแยกท่อก๊าซเอ็กโก้ราชบุรีรอดตัวสมคิด
neg,แฉปตทแตกบริษัทลูกที่เกาะเคย์แมน
neg,สัมภาษณ์พิเศษปตทคลายสงสัยเอ็นจีวีเรามองเรื่อง
neg,ปตทเฉลิมพระเกียรติ
neg,pttแบกต้นทุนอ่วม2หมื่นลมั่นใจผลกำไรรวมยังโตเพิ่ม
neg,ปตทครวญแบกภาระ2หมื่นลแทนประชาชน
neg,ปตทแบกภาระน้ำมันปีนี้2หมื่นล
neg,energysubsidiespttfacingburdenofbt20bn
neg,ปตทขอดูทิศทางตลาดโลก12วันลดอีกมีโอกาสปรับลง
neg,pttkeepingpricesdownwillcostitb20bn
neg,ปตทโอดแบกหนี้น้ำมัน2หมื่นล้าน
neg,ปตทยันไม่ลดราคาอุ้มน้ำมัน2หมื่นล
neg,ปตทช่วยชาติลดเอฟทีแบกค่าก๊าซเพิ่ม2หมื่นล
neg,ปตทครวญแบกหนี้อ่วม2หมื่นล้าน
neg,ปตทยึดเครือทีพีไอเบ็ดเสร็จแก้ลูกเบี้ยวค่าน้ำมันปิด
neg,toppttราคาต่ำเกินพื้นฐานรอจังหวะเข้าเก็บแนวโน้มธรุกิจยัง
neg,เกาะติดหุ้นptt
neg,รอบด้านตลาดหุ้นpttเผชิญภาระขาดทุน20000ล้านบาท
neg,บิ๊กอีเวนต์แด่ในหลวงซีพีไทยเบฟบุญรอดปตทควักรายละ40
